id,lon,lat,name,address,pname,cityname,business_area,type
B0K2RL8GRA,120.022517,30.316271,器派网球馆,仓前街道三仓路8号高桥梦港湾D7,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K2TLR1G1,120.236760,30.224886,At 硬核网球练习室,奔竞大道353号奥体中心综合训练馆B1层,浙江省,杭州市,[],体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0K2VH4L8K,120.173073,30.278752,耘星网球,朝辉路144号2楼209铺位,浙江省,杭州市,朝晖,体育休闲服务;运动场馆;网球场
B0K2VZ99H4,120.215134,30.172948,功量网球中心,滨文路60号1号楼108室,浙江省,杭州市,长河,体育休闲服务;运动场馆;网球场
B0K3012M06,120.157608,30.292188,Queen网球学练馆(昆仑公馆店),长板巷99号昆仑公馆6号楼,浙江省,杭州市,德胜路沿线,体育休闲服务;运动场馆;网球场
B0K35ZHEXI,120.066857,30.309131,5mile网球学练馆24h,嵘基科创A座205,浙江省,杭州市,三墩,体育休闲服务;运动场馆;网球场
B0K36CFBBF,120.075442,30.293022,Tennis Fit九成网球学练馆,西溪银泰B馆2楼205室九成网球,浙江省,杭州市,西溪,体育休闲服务;运动场馆;网球场
B0K36XAE7R,120.202317,30.177367,科致运动·网球训练馆,南环路1674号网投文化创意园2幢2-105,浙江省,杭州市,长河,体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0K399FUO5,120.168052,30.228172,海马网球(利星名品广场南区),中山南路77号利星名品广场南区7F层,浙江省,杭州市,[],生活服务;生活服务场所;生活服务场所
B0K39CALA1,120.233548,30.228235,杭州奥体中心网球中心T3场地,奥体中心园区内,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K39CFRCX,120.232481,30.227945,杭州奥体中心网球中心T2场地,奥体中心园区内,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K39RER4K,120.148044,30.361952,美澳网球,电厂路与7号支路交叉口南120米,浙江省,杭州市,康桥,体育休闲服务;运动场馆;网球场
B0K3BCTQ9Y,120.471071,30.224160,靖安小区网球场,官界路427号,浙江省,杭州市,靖江,体育休闲服务;运动场馆;网球场
B0K3F642G4,120.096767,30.338197,杭州金柚子律动网球俱乐部,金家渡南路2号,浙江省,杭州市,祥符街,体育休闲服务;运动场馆;网球场
B0K3HL8L7F,120.002535,30.347728,良毅网球,良渚街道运溪路800号2-1-203号,浙江省,杭州市,良渚,体育休闲服务;运动场馆;网球场
B0K3JCCQVR,120.015669,30.203927,浙江特殊教育职业学院网球场,留下街道留和路527号浙江特殊教育职业学院,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K3RZWBOU,120.111029,30.315988,非凡网球,莫干山路1165号花园boxF6层,浙江省,杭州市,祥符街,体育休闲服务;运动场馆;网球场
B0K3VMHU9O,120.100051,30.293761,火星人体育文化发展有限公司,古墩路588号印象城5楼天空球场,浙江省,杭州市,西溪,体育休闲服务;运动场馆;网球场
B0K3VUIHLV,120.172109,30.178065,Swing Tennis网球自习室,南环路2952号腾虎科技大厦一楼网球馆,浙江省,杭州市,浦沿,体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0K3XC4K7V,120.234458,30.226448,杭州奥体中心网球中心T6馆,奥体中心园区内近1号门出入口,浙江省,杭州市,[],体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0K3XUV986,120.223496,30.462533,皇国山市民公园-网球场,皇国山市民公园(西北角),浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K6DZ8TL8,120.168011,30.228140,海马网球俱乐部,中山南路77号尚城1157利星,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0KA11KJ53,120.071332,30.287808,云上网球,文一西路776号西溪云上科技园1号楼楼顶,浙江省,杭州市,西溪,体育休闲服务;运动场馆;网球场
B0KA796YMX,120.115298,30.289343,悦己网球学练馆,毛家桥路59号,浙江省,杭州市,西溪,体育休闲服务;运动场馆;网球场
B0KA7D1EBP,120.246535,30.294606,德莱网球运动馆,红建街与三官塘路交叉口东北80米,浙江省,杭州市,彭埠,体育休闲服务;运动场馆;网球场
B0KAACAJUE,120.045794,30.288694,西城网球室内训练馆,西溪八方城七号楼下沉广场东南角,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0KALHIH87,119.941049,30.045609,正赛嘉网球俱乐部,康月路与体育馆路交叉口北160米,浙江省,杭州市,富春,体育休闲服务;运动场馆;网球场
B0KARY7RCK,120.168007,30.228095,海马网球俱乐部氧吧(利星名品广场店),利星名品广场,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0KB9Z6CLV,120.031684,30.241837,平击网球俱乐部,联胜路9号3幢3F(联胜路地铁站E口步行270米),浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
